date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:48	2352/2352	U-----	200	untouched ('OK')	text/html	etag:W/%2218bb-17a9038abd8%22	http://abtbizconnect.com/robots.txt		(from )
17:14:49	6331/6331	U-----	200	untouched ('OK')	text/html	etag:W/%2218bb-17a9038abd8%22	http://abtbizconnect.com/	C:/My%20Web%20Sites/findmybiz/index-2.html	(from )
17:14:49	305/305	---M--	200	added ('OK')	application/json	etag:W/%22131-17a9037bd90%22	http://abtbizconnect.com/manifest.json	C:/My%20Web%20Sites/findmybiz/manifest.json	(from http://abtbizconnect.com/)
17:14:49	155543/155543	---M-Z	200	added ('OK')	text/css	etag:W/%2225f97-+iyBLOsQoeY5/EVvUXKrEX74nOo%22	https://cdn.jsdelivr.net/gh/masterkn48/1saved_css_old_projects/cdn/css/bootstrap.min.css	C:/My%20Web%20Sites/findmybiz/gh/masterkn48/1saved_css_old_projects/cdn/css/bootstrap.min.css	(from http://abtbizconnect.com/)
17:14:53	207/207	U--MC-	200	updated ('OK')	text/css	date:Fri,%2027%20Aug%202021%2016:14:51%20GMT	https://fonts.googleapis.com/css2?family=Open+Sans&display=swap	C:/My%20Web%20Sites/findmybiz/css2a1f4.css	(from http://abtbizconnect.com/)
17:14:53	706079/706079	---MCZ	200	added ('OK')	text/css	etag:W/%22ac61f-17a9037bd90%22	http://abtbizconnect.com/css/sdb.css	C:/My%20Web%20Sites/findmybiz/css/sdb.css	(from http://abtbizconnect.com/)
17:14:53	23739/23739	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/My%20Web%20Sites/findmybiz/font-awesome/4.3.0/css/font-awesome.min.css	(from http://abtbizconnect.com/)
17:14:53	628536/628536	---M-Z	200	added ('OK')	text/css	etag:W/%2299738-xBtVnjRc5piOJZyFKbhk0QxxYOQ%22	https://cdn.jsdelivr.net/npm/semantic-ui@2.4.2/dist/semantic.min.css	C:/My%20Web%20Sites/findmybiz/npm/semantic-ui@2.4.2/dist/semantic.min.css	(from http://abtbizconnect.com/)
17:14:55	65696/65696	---M-Z	200	added ('OK')	text/css	etag:W/%22100a0-GGXd3Lt7Z9zvQlDlkMyalXSrpnM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	C:/My%20Web%20Sites/findmybiz/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	(from http://abtbizconnect.com/)
17:14:56	1054/1054	U--MC-	200	updated ('OK')	text/css	date:Fri,%2027%20Aug%202021%2016:14:53%20GMT	https://fonts.googleapis.com/css?family=Lato:300,400,700,300italic,400italic,700italic	C:/My%20Web%20Sites/findmybiz/cssea9f.css	(from http://abtbizconnect.com/)
17:14:56	201783/201783	---MCZ	200	added ('OK')	text/css	etag:W/%2231437-17a9037bd90%22	http://abtbizconnect.com/css/styles.css	C:/My%20Web%20Sites/findmybiz/css/styles.css	(from http://abtbizconnect.com/)
17:14:56	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-17a9037bd90%22	http://abtbizconnect.com/favicon.ico	C:/My%20Web%20Sites/findmybiz/favicon.ico	(from http://abtbizconnect.com/)
